periods,cells,mu_arithmetic,mu_two_phase,gap
1,67,13.265011753578458,13.4450128207958,0.18000106721734177
2,134,13.204884678941223,14.000291481285291,0.7954068023440684
4,268,13.177182851636541,14.178013388662517,1.0008305370259762
8,536,13.164359334728495,14.263980280466221,1.0996209457377262
16,1072,13.158378116066512,14.313631249585782,1.1552531335192704
